log hfd,log mmb,log abt
0,0.27485032,0
0,0.32159843,0.31196566
0,0.41863269,0.38667728
0,0.43023635,0.41296427
0,0.4364807,0.41680687
0,0.4483971,0.42143939
0,0.47392469,0.42878251
0,0.48158594,0.4407517
0,0.53693702,0.44185218
0,0.54182877,0.44870632
0,0.55132799,0.45545397
0,0.55930801,0.45545397
0,0.57205799,0.46074754
0,0.58285846,0.46224822
0,0.59150981,0.46493643
0,0.59944638,0.46553156
0,0.60691853,0.47421626
0,0.60831204,0.47813343
0,0.61584488,0.48315921
0,0.61898892,0.48967729
0,0.6198235,0.49317912
0,0.6203443,0.49886169
0,0.62138403,0.50119624
0,0.62190296,0.50215389
0,0.62397251,0.50664031
0,0.62654566,0.51388319
0,0.63002085,0.51414913
0,0.63417487,0.51454775
0,0.63568476,0.51811895
0,0.63678869,0.51943419
0,0.6369891,0.51969677
0,0.63708927,0.52322604
0,0.63798978,0.52335621
0,0.64137495,0.52646851
0,0.64522571,0.52775875
0,0.64601141,0.52788757
0,0.64875021,0.52801634
0,0.65040467,0.53032779
0,0.65379119,0.53083978
0,0.65417654,0.53135116
0,0.65743832,0.53415307
0,0.65753389,0.53643218
0,0.65858372,0.53693702
0,0.66048602,0.54145443
0,0.66067579,0.54182877
0,0.66086548,0.54182877
0,0.66086548,0.54220278
0,0.66143405,0.54307424
0,0.66190729,0.54875783
0,0.6624745,0.54937115
0,0.66322963,0.55035067
0,0.66445393,0.55096175
0,0.66511174,0.55545722
0,0.6652995,0.55714614
0,0.66595603,0.55906833
0,0.66604974,0.56050442
0,0.66885165,0.56110138
0,0.67006022,0.56300619
0,0.67052416,0.56336241
0,0.67228262,0.56608378
0,0.67320528,0.56878821
0,0.67375794,0.56913973
0,0.67421795,0.5726393
0,0.6745856,0.57691696
0,0.67568671,0.58217704
0,0.67596155,0.58579901
0,0.67605312,0.58579901
0,0.67669361,0.58636222
0,0.67669361,0.59195456
0.00302947,0.67797175,0.59284268
0.00860017,0.6794279,0.59317526
0.01535976,0.67970038,0.59428203
0.0187005,0.68006343,0.59922786
0.01911629,0.68412693,0.59955559
0.02160272,0.68511447,0.60053729
0.03140846,0.68547302,0.6009729
0.03181227,0.68645751,0.60390183
0.03702788,0.68743977,0.60498163
0.03901732,0.68850881,0.60681115
0.04020663,0.68868672,0.60691853
0.04178732,0.68868672,0.60809795
0.04453976,0.68930886,0.60852603
0.05076631,0.6902847,0.60863299
0.0576661,0.69090455,0.61278386
0.07881918,0.69090455,0.61584488
0.09061071,0.69214161,0.61626541
0.09272064,0.69249441,0.6176293
0.09342169,0.69258256,0.61825734
0.10957855,0.69302307,0.61867554
0.11627559,0.69451745,0.61898892
0.11859537,0.69451745,0.62096844
0.12807601,0.6946052,0.62190296
0.13065535,0.69653112,0.62592949
0.13640345,0.69714213,0.62644303
0.14019368,0.69731654,0.62787769
0.14176323,0.69775227,0.62920566
0.14581771,0.69897,0.62971533
0.15956719,0.69897,0.63286204
0.16494737,0.70087671,0.6349808
0.17318627,0.70277508,0.63598611
0.18383904,0.70380707,0.63768982
0.19005142,0.70406468,0.63808972
0.19479176,0.70423634,0.63908787
0.195069,0.70457945,0.64038204
0.20709554,0.70492229,0.64315647
0.21325205,0.70526486,0.6451274
0.21642983,0.70577821,0.64542227
0.2166936,0.70714419,0.64610952
0.22063102,0.70884564,0.65118106
0.23044892,0.71121652,0.65224634
0.23172438,0.71298623,0.65321251
0.24079877,0.71391035,0.65379119
0.2460059,0.71407816,0.65581049
0.25430633,0.71424591,0.65848838
0.26030995,0.71717103,0.65877432
0.2664669,0.7176705,0.65953591
0.26670197,0.71792003,0.66133934
0.26717173,0.71850169,0.66322963
0.26904571,0.71916549,0.66379512
0.27253778,0.71974549,0.66511174
0.27415785,0.71982829,0.66539335
0.27600199,0.71999383,0.6662371
0.27829621,0.72115084,0.66726612
0.28600712,0.72115084,0.66726612
0.28869626,0.72148085,0.66819948
0.29314148,0.72230479,0.66857227
0.29358351,0.72246939,0.66931688
0.30941723,0.72288061,0.67052416
0.31513032,0.72312716,0.67061689
0.32201244,0.72394798,0.6707096
0.32613096,0.72411195,0.67209786
0.32654067,0.72443972,0.67375794
0.33685982,0.72501273,0.67412598
0.35506821,0.72542155,0.67421795
0.35506821,0.72550327,0.67467747
0.36417563,0.72664572,0.67495295
0.36623612,0.72762258,0.67531998
0.37069809,0.72843495,0.67531998
0.37966803,0.72867837,0.67550338
0.38399479,0.72875948,0.67596155
0.38969755,0.72924581,0.67596155
0.39741854,0.7294078,0.67733315
0.41262852,0.72948877,0.67760695
0.41514035,0.730136,0.67815404
0.41846702,0.73045926,0.67842732
0.42324587,0.73094369,0.67870043
0.42764837,0.73158877,0.67879143
0.42797271,0.73311698,0.68006343
0.43424945,0.73311698,0.68060743
0.43568514,0.73343803,0.68106024
0.44824241,0.73391915,0.68205478
0.45040309,0.73415951,0.68376726
0.4557582,0.73431968,0.68430665
0.46059719,0.73455982,0.68511447
0.46179856,0.73511963,0.68601029
0.4619485,0.73567873,0.68779641
0.4690853,0.73695395,0.6882418
0.47275645,0.73711309,0.68850881
0.48557948,0.73893903,0.6897527
0.48586333,0.73949323,0.69170021
0.48713838,0.73957234,0.69311112
0.48770386,0.7399677,0.69399061
0.49886169,0.74012574,0.69434191
0.50528567,0.74138799,0.69565676
0.50852972,0.74201775,0.69818757
0.51361707,0.74248946,0.69870935
0.51600623,0.74272513,0.69983773
0.51666756,0.74350976,0.70070372
0.52283531,0.74374488,0.70096318
0.52387648,0.74374488,0.70208572
0.52582195,0.74390155,0.70277508
0.53453376,0.74460588,0.7035493
0.54045461,0.74460588,0.7035493
0.54294985,0.74476224,0.70389295
0.54357142,0.74491854,0.70415052
0.54604887,0.74523098,0.70543605
0.54924856,0.74577722,0.70586371
